word,meaning,pos,"example","example_ko","example2","example2_ko","collocation","collocation_ko",level,synonym
accessible,접근 가능한,adj,"The report should be accessible to all employees.","그 보고서는 모든 직원이 열람할 수 있어야 한다.","The new building was designed to be accessible to wheelchair users.","그 새 건물은 휠체어 사용자들도 이용할 수 있도록 설계되었다.","wheelchair accessible","휠체어로 접근 가능한",2,available
acclaim,칭송하다,v,"Critics acclaimed the film for its originality.","평론가들은 그 영화의 독창성을 극찬했다.","","","critically acclaimed","비평가들의 찬사를 받는",3,
accommodate,수용하다,v,"The hall can accommodate up to five hundred guests.","그 홀은 최대 500명의 손님을 수용할 수 있다.","The hotel added extra rooms to accommodate the growing number of tourists.","그 호텔은 늘어나는 관광객을 수용하기 위해 객실을 추가했다.","accommodate a request","요청을 수용하다",2,house
accord,일치/부여하다,n,"The two reports are in accord on the final numbers.","두 보고서는 최종 수치에서 일치한다.","","","reach an accord","협정에 이르다",3,
accumulate,축적하다,v,"Dust had accumulated on the shelves for months.","몇 달 동안 선반에 먼지가 쌓였다.","Over the years, he accumulated a large collection of rare coins.","수년에 걸쳐 그는 희귀한 동전을 대량으로 모았다.","accumulate wealth","부를 축적하다",2,gather
acquiesce,마지못해 동의하다,v,"She acquiesced to the new schedule without complaint.","그녀는 불평 없이 새 일정에 마지못해 따랐다.","","","acquiesce to a demand","요구에 마지못해 응하다",5,
acrimonious,격렬한/신랄한,adj,"The negotiation turned acrimonious by the third hour.","협상은 세 시간째에 접어들며 신랄해졌다.","","","acrimonious divorce","험악한 이혼",5,
acute,급성의/예리한,adj,"He has an acute sense of timing in meetings.","그는 회의에서 타이밍을 잡는 예리한 감각을 지녔다.","The detective has an acute eye for small details.","그 형사는 사소한 세부 사항을 알아채는 예리한 눈을 가지고 있다.","acute pain","급성 통증",2,severe
adamant,단호한,adj,"She was adamant that the deadline could not move.","그녀는 마감일을 미룰 수 없다고 단호하게 말했다.","","","adamant about","~에 대해 단호한",3,
adept,능숙한,adj,"He is adept at resolving conflicts quickly.","그는 갈등을 신속히 해결하는 데 능숙하다.","","","adept at","~에 능숙한",4,
adhere,고수하다/부착되다,v,"All staff must adhere to the new dress code.","모든 직원은 새로운 복장 규정을 준수해야 한다.","","","adhere to the rules","규칙을 고수하다",3,
adjacent,인접한,adj,"The warehouse is adjacent to the main office.","그 창고는 본사 사무실과 인접해 있다.","The park is adjacent to the elementary school.","그 공원은 초등학교와 인접해 있다.","adjacent building","인접한 건물",2,neighboring
adjourn,휴회하다/연기하다,v,"The committee adjourned the meeting until Friday.","위원회는 회의를 금요일까지 연기했다.","","","adjourn the meeting","회의를 휴회하다",3,
admonish,훈계하다/경고하다,v,"The supervisor admonished the team for the delay.","상사는 지연에 대해 팀을 훈계했다.","","","admonish a student","학생을 훈계하다",5,
adroit,솜씨 좋은,adj,"She gave an adroit response to the tough question.","그녀는 어려운 질문에 솜씨 좋게 대답했다.","","","adroit negotiator","능숙한 협상가",5,
adulterate,불순물을 섞다,v,"The company was fined for adulterating the product.","그 회사는 제품에 불순물을 섞은 것으로 벌금을 물었다.","","","adulterate food","식품에 불순물을 섞다",5,
adverse,불리한,adj,"The drug can have adverse effects on some patients.","그 약은 일부 환자에게 부작용을 일으킬 수 있다.","Heavy rain created adverse conditions for the outdoor concert.","폭우로 인해 야외 콘서트에 불리한 상황이 만들어졌다.","adverse effects","부작용(안 좋은 영향)",2,unfavorable
advocate,지지하다/옹호자,v,"The lawyer advocated for stronger consumer protection.","그 변호사는 더 강력한 소비자 보호를 옹호했다.","The doctor advocates a balanced diet for heart health.","그 의사는 심장 건강을 위해 균형 잡힌 식단을 지지한다.","advocate reform","개혁을 지지하다",2,support
aesthetic,미적인,adj,"The redesign focused on both aesthetic and function.","재설계는 미적 요소와 기능성 모두에 초점을 맞췄다.","The garden was designed purely for aesthetic pleasure.","그 정원은 순전히 미적인 즐거움을 위해 설계되었다.","aesthetic appeal","미적 매력",2,artistic
affable,상냥한,adj,"The new director is affable and easy to talk to.","새 이사는 상냥해서 이야기하기 편하다.","","","affable host","상냥한 주최자",5,
affluent,부유한,adj,"The affluent suburb attracted many new businesses.","그 부유한 교외 지역은 많은 신규 사업체를 끌어들였다.","","","affluent society","풍요로운 사회",3,
aggravate,악화시키다,v,"Poor ventilation can aggravate the problem.","환기가 잘 안 되면 문제가 악화될 수 있다.","Scratching the bite will only aggravate the itching.","그 물린 곳을 긁으면 가려움만 악화될 뿐이다.","aggravate a situation","상황을 악화시키다",2,worsen
agile,민첩한,adj,"The startup remained agile despite rapid growth.","그 스타트업은 빠르게 성장했음에도 민첩함을 유지했다.","A good goalkeeper needs to be agile and quick.","훌륭한 골키퍼는 민첩하고 빨라야 한다.","agile athlete","민첩한 운동선수",2,nimble
alienate,멀어지게 하다/소외시키다,v,"The policy risks alienating loyal customers.","그 정책은 충성 고객들을 멀어지게 할 위험이 있다.","","","alienate customers","고객을 소외시키다",3,
allege,주장하다,v,"The report alleges several accounting errors.","그 보고서는 여러 회계 오류가 있었다고 주장한다.","The former employee alleges that she was fired unfairly.","그 전직 직원은 자신이 부당하게 해고되었다고 주장한다.","allege wrongdoing","잘못을 (근거 없이) 주장하다",2,claim
alleviate,완화하다,v,"The new software helped alleviate the workload.","새 소프트웨어는 업무 부담을 완화하는 데 도움이 되었다.","","","alleviate poverty","빈곤을 완화하다",3,
allocate,할당하다,v,"The budget allocates more funds to research.","예산은 연구에 더 많은 자금을 할당한다.","Each department was allocated a fixed number of parking spots.","각 부서에는 정해진 수의 주차 공간이 할당되었다.","allocate resources","자원을 할당하다",2,assign
altruistic,이타적인,adj,"Her altruistic donations surprised the board.","그녀의 이타적인 기부는 이사회를 놀라게 했다.","","","altruistic act","이타적인 행동",4,
ambiguous,모호한,adj,"The instructions were too ambiguous to follow.","지침이 너무 모호해서 따르기 어려웠다.","His answer was ambiguous, so no one knew what he really meant.","그의 대답은 모호해서 아무도 그가 진짜 의미하는 바를 알 수 없었다.","ambiguous wording","모호한 문구",2,vague
ambivalent,양가적인,adj,"He felt ambivalent about accepting the promotion.","그는 승진을 받아들이는 것에 대해 양가적인 감정을 느꼈다.","","","ambivalent about","~에 대해 양가적인",4,
amend,수정하다,v,"The board voted to amend the bylaws.","이사회는 정관을 수정하기로 투표했다.","They had to amend the contract after the client requested changes.","고객이 변경을 요청한 후 그들은 계약서를 수정해야 했다.","amend the constitution","헌법을 개정하다",2,revise
amiable,다정한,adj,"The amiable host made everyone feel welcome.","다정한 주최자는 모두를 편안하게 맞아 주었다.","","","amiable neighbor","다정한 이웃",4,
amicable,우호적인,adj,"They reached an amicable settlement out of court.","그들은 법정 밖에서 우호적으로 합의에 이르렀다.","","","amicable divorce","원만한 이혼",3,
amplify,증폭시키다/확대하다,v,"Social media can amplify small controversies.","소셜 미디어는 작은 논란을 증폭시킬 수 있다.","The microphone amplified her voice so everyone could hear.","마이크는 그녀의 목소리를 증폭시켜 모두가 들을 수 있게 했다.","amplify a signal","신호를 증폭시키다",2,intensify
anarchy,무정부 상태,n,"The sudden power vacuum led to anarchy.","갑작스러운 권력 공백은 무정부 상태로 이어졌다.","","","descend into anarchy","무정부 상태로 빠지다",3,
anecdote,일화,n,"He opened the speech with a short anecdote.","그는 짧은 일화로 연설을 시작했다.","My grandfather loves telling anecdotes about his years in the navy.","할아버지는 해군에서 보낸 시절의 일화를 이야기하는 것을 좋아하신다.","anecdotal evidence","일화적 증거(경험담에 근거한 증거)",2,story
animosity,적대감,n,"There is longstanding animosity between the two firms.","두 회사 사이에는 오랜 적대감이 있다.","Years of competition left deep animosity between the two rivals.","수년간의 경쟁은 그 두 라이벌 사이에 깊은 적대감을 남겼다.","harbor animosity","적대감을 품다",2,hostility
anomaly,이례적인 것,n,"The audit found an anomaly in last month's report.","감사에서 지난달 보고서에 이례적인 점이 발견되었다.","","","statistical anomaly","통계적 이례",3,
antagonize,적대시하다,v,"The comment only antagonized the other team.","그 발언은 상대 팀을 자극해 적대감만 키웠다.","","","antagonize colleagues","동료들을 적대시하다",5,
antecedent,선행 사건/앞서는,n,"The proposal has no clear antecedent in past policy.","그 제안은 과거 정책에 명확한 선례가 없다.","","","antecedent of a pronoun","대명사의 선행사",5,
antipathy,반감,n,"He showed open antipathy toward the new rules.","그는 새 규정에 대해 노골적인 반감을 드러냈다.","","","antipathy toward","~에 대한 반감",5,
apathy,무관심,n,"Voter apathy was blamed for the low turnout.","낮은 투표율은 유권자의 무관심 탓으로 여겨졌다.","","","voter apathy","유권자의 무관심",4,
apex,정점,n,"The company reached the apex of its success in 2019.","그 회사는 2019년에 성공의 정점에 도달했다.","The climbers finally reached the apex of the mountain at dawn.","등반가들은 마침내 새벽에 그 산의 정점에 도달했다.","apex predator","최상위 포식자",2,peak
appease,달래다,v,"The manager tried to appease the angry client.","매니저는 화난 고객을 달래려 했다.","","","appease critics","비판자들을 달래다",3,
apprehensive,불안한/염려하는,adj,"She felt apprehensive before the presentation.","그녀는 발표 전에 불안감을 느꼈다.","","","apprehensive about","~에 대해 불안해하는",3,
arbitrary,임의적인,adj,"The rule seemed arbitrary and poorly explained.","그 규정은 임의적이고 설명이 부실해 보였다.","The judge said the fine amount felt completely arbitrary.","판사는 그 벌금 액수가 완전히 임의적으로 느껴진다고 말했다.","arbitrary decision","임의적인 결정",2,random
arbitrate,중재하다,v,"A neutral panel will arbitrate the dispute.","중립적인 패널이 그 분쟁을 중재할 것이다.","","","arbitrate a dispute","분쟁을 중재하다",5,
arcane,난해한/비밀스러운,adj,"The manual is full of arcane technical terms.","그 설명서는 난해한 전문 용어로 가득하다.","","","arcane rules","난해한 규칙",5,
ardent,열렬한,adj,"He is an ardent supporter of the reform.","그는 그 개혁의 열렬한 지지자이다.","","","ardent supporter","열렬한 지지자",5,
arduous,힘든,adj,"The migration to the new system was an arduous task.","새 시스템으로의 전환은 힘든 작업이었다.","","","arduous journey","험난한 여정",4,
arrogant,거만한,adj,"His arrogant tone annoyed the whole team.","그의 거만한 말투는 팀 전체를 짜증나게 했다.","Nobody wanted to work with such an arrogant boss.","그렇게 거만한 상사와 함께 일하고 싶어하는 사람은 아무도 없었다.","arrogant attitude","거만한 태도",1,haughty/conceited
articulate,또렷하게 말하다/명료한,adj,"She is articulate even under pressure.","그녀는 압박 속에서도 또렷하게 말한다.","He gave an articulate explanation of the complex issue.","그는 그 복잡한 사안에 대해 명료한 설명을 했다.","articulate answer","또렷한 답변",2,eloquent
ascertain,확인하다/알아내다,v,"We need to ascertain the cause of the delay.","우리는 지연의 원인을 확인해야 한다.","","","ascertain the facts","사실을 확인하다",4,
askew,비뚤어진,adj,"The picture frame was hanging askew.","액자가 비뚤어진 채 걸려 있었다.","","","hang askew","삐뚤게 걸리다",3,
aspire,열망하다,v,"Many interns aspire to become full-time analysts.","많은 인턴들이 정규직 애널리스트가 되기를 열망한다.","As a child, she aspired to be a professional pianist.","어렸을 때 그녀는 전문 피아니스트가 되기를 열망했다.","aspire to become","~이 되기를 열망하다",2,strive
assert,주장하다/단언하다,v,"He asserted that the figures were accurate.","그는 그 수치가 정확하다고 단언했다.","She firmly asserted her right to a refund.","그녀는 환불받을 권리를 단호히 주장했다.","assert dominance","지배력을 주장하다(우위를 내세우다)",2,declare
assiduous,근면한,adj,"Her assiduous note-taking impressed the professor.","그녀의 근면한 필기는 교수에게 깊은 인상을 남겼다.","","","assiduous student","근면한 학생",5,
assimilate,동화되다/흡수하다,v,"New hires quickly assimilate into the team culture.","신입 직원들은 빠르게 팀 문화에 동화된다.","","","assimilate into society","사회에 동화되다",4,
astute,기민한/영리한,adj,"The astute investor spotted the trend early.","기민한 투자자는 그 흐름을 일찍 알아챘다.","","","astute observation","예리한 관찰",4,
audacious,대담한,adj,"The startup made an audacious bid for the market leader.","그 스타트업은 시장 선두 업체를 겨냥한 대담한 시도를 했다.","It was an audacious plan to climb the mountain without oxygen.","산소 없이 그 산을 오르겠다는 것은 대담한 계획이었다.","audacious move","대담한 행동",2,bold
augment,증대시키다,v,"The firm hired consultants to augment its staff.","그 회사는 인력을 보강하기 위해 컨설턴트를 고용했다.","The company augmented its marketing team with three new hires.","그 회사는 세 명의 신규 채용으로 마케팅 팀을 증대시켰다.","augmented reality","증강현실",2,increase
austere,엄격한/소박한,adj,"The office has an austere, minimalist design.","그 사무실은 엄격하고 미니멀한 디자인을 갖추고 있다.","","","austere lifestyle","검소한 생활방식",4,
authentic,진정한,adj,"The museum verified the painting as authentic.","박물관은 그 그림이 진품임을 확인했다.","This restaurant serves authentic Italian pasta.","이 식당은 진짜 이탈리아식 파스타를 제공한다.","authentic experience","진정성 있는 경험",1,genuine
autonomous,자율적인,adj,"Each branch operates as an autonomous unit.","각 지사는 자율적인 단위로 운영된다.","The car can drive in autonomous mode on the highway.","그 자동차는 고속도로에서 자율 주행 모드로 운전할 수 있다.","autonomous vehicle","자율주행 차량",2,independent
avarice,탐욕,n,"The novel explores the avarice of the ruling class.","그 소설은 지배 계층의 탐욕을 다룬다.","","","driven by avarice","탐욕에 이끌린",5,
aversion,혐오/반감,n,"He has a strong aversion to public speaking.","그는 대중 앞에서 말하는 것에 강한 거부감을 느낀다.","","","have an aversion to","~에 대한 혐오감을 가지다",5,
avert,피하다/막다,v,"Quick action helped avert a major outage.","신속한 조치 덕분에 대규모 정전을 막을 수 있었다.","The pilot managed to avert a collision at the last second.","조종사는 마지막 순간에 충돌을 피할 수 있었다.","avert disaster","재앙을 막다",2,prevent
banal,따분한/평범한,adj,"The speech was full of banal corporate phrases.","그 연설은 진부한 기업 상투어로 가득했다.","","","banal comment","따분한 발언",5,
belligerent,적대적인/전투적인,adj,"His belligerent attitude escalated the argument.","그의 호전적인 태도가 언쟁을 더 키웠다.","","","belligerent tone","적대적인 어조",5,
benevolent,자비로운,adj,"The benevolent donor funded the entire library.","자비로운 기부자가 도서관 전체 비용을 대었다.","","","benevolent dictator","선의의 독재자",4,
benign,자비로운/온화한,adj,"The tumor turned out to be benign.","그 종양은 양성으로 판명되었다.","Despite his gruff appearance, the old man had a benign nature.","거친 외모에도 불구하고 그 노인은 온화한 성품을 지녔다.","benign tumor","양성 종양",2,harmless
bewilder,어리둥절하게 하다,v,"The complex form bewildered most applicants.","복잡한 양식이 대부분의 지원자를 어리둥절하게 만들었다.","","","bewilder the audience","청중을 어리둥절하게 하다",3,
bias,편견,n,"The survey may contain unconscious bias.","그 설문 조사에는 무의식적인 편견이 포함되어 있을 수 있다.","The judge was accused of showing bias toward one side.","그 판사는 한쪽 편을 드는 편견을 보였다는 비난을 받았다.","confirmation bias","확증 편향",1,prejudice
blatant,노골적인,adj,"It was a blatant violation of company policy.","그것은 회사 방침을 노골적으로 위반한 것이었다.","It was a blatant lie, and everyone in the room knew it.","그것은 노골적인 거짓말이었고, 방 안의 모두가 그것을 알았다.","blatant disregard","노골적인 무시(경시)",2,obvious
bleak,암울한,adj,"The economic outlook remains bleak for now.","지금으로서는 경제 전망이 암울하다.","The weather forecast looked bleak for the weekend hike.","주말 등산을 위한 일기 예보는 암울해 보였다.","bleak outlook","암울한 전망",2,gloomy
bolster,강화하다,v,"New evidence bolstered her argument.","새로운 증거가 그녀의 주장을 뒷받침했다.","","","bolster confidence","자신감을 북돋우다",3,
boycott,불매 운동을 하다,v,"Consumers threatened to boycott the brand.","소비자들은 그 브랜드를 불매하겠다고 위협했다.","Activists urged shoppers to boycott companies that pollute rivers.","활동가들은 강을 오염시키는 기업들을 불매하라고 소비자들에게 촉구했다.","boycott a company","회사에 대해 불매운동을 하다",1,
brevity,간결함,n,"The editor praised the brevity of the report.","편집자는 그 보고서의 간결함을 칭찬했다.","","","for the sake of brevity","간결함을 위해",4,
brittle,부서지기 쉬운,adj,"The old plastic casing had become brittle.","오래된 플라스틱 케이스는 부서지기 쉽게 변해 있었다.","Dry autumn leaves turn brittle and crack underfoot.","마른 가을 낙엽은 부서지기 쉽게 변해 밟으면 부스러진다.","brittle bones","잘 부러지는 뼈(골다공증)",1,fragile
buoyant,쾌활한/부양하는,adj,"Investors remained buoyant despite the news.","투자자들은 그 소식에도 불구하고 낙관적인 태도를 유지했다.","","","buoyant economy","활기찬 경제",3,
bureaucracy,관료제,n,"Cutting through the bureaucracy took weeks.","관료제를 뚫고 나가는 데 몇 주가 걸렸다.","","","government bureaucracy","정부 관료제",3,
callous,냉담한,adj,"His callous remark upset the whole team.","그의 냉담한 발언이 팀 전체를 언짢게 했다.","","","callous disregard","냉담한 무시",4,
candid,솔직한,adj,"She gave a candid assessment of the project.","그녀는 그 프로젝트에 대해 솔직한 평가를 내렸다.","In a candid interview, the actor admitted his early films were bad.","솔직한 인터뷰에서 그 배우는 자신의 초기 영화들이 형편없었다고 인정했다.","candid camera","몰래카메라(연출 없는 자연스러운 모습)",2,frank
capricious,변덕스러운,adj,"The market has been capricious this quarter.","이번 분기 시장은 변덕스러운 모습을 보였다.","","","capricious weather","변덕스러운 날씨",5,
captivate,매혹시키다,v,"The keynote speaker captivated the audience.","기조연설자는 청중을 매혹시켰다.","","","captivate an audience","관객을 매혹시키다",3,
cardinal,가장 중요한/기본적인,adj,"Honesty is a cardinal rule in this office.","정직은 이 사무실의 가장 중요한 원칙이다.","","","cardinal rule","기본 원칙(철칙)",4,
catalyst,촉매/기폭제,n,"The merger acted as a catalyst for change.","그 합병은 변화의 촉매 역할을 했다.","","","catalyst for change","변화의 촉매(제)",3,
caustic,신랄한/부식성의,adj,"His caustic review discouraged new customers.","그의 신랄한 후기는 신규 고객들의 발길을 끊게 했다.","","","caustic remark","신랄한 발언",5,
cede,양도하다,v,"The company ceded market share to a rival.","그 회사는 경쟁사에 시장 점유율을 내주었다.","","","cede control","통제권을 양도하다",5,
censure,비난하다,v,"The board voted to censure the executive.","이사회는 그 임원을 견책하기로 투표했다.","","","vote of censure","불신임 투표(견책 결의)",5,
chronic,만성적인,adj,"The system suffers from chronic downtime.","그 시스템은 만성적인 다운타임에 시달린다.","","","chronic pain","만성 통증",3,
circumspect,신중한,adj,"Investors were circumspect about the new venture.","투자자들은 그 신규 사업에 대해 신중한 태도를 보였다.","","","circumspect approach","신중한 접근",5,
circumvent,회피하다,v,"They found a way to circumvent the restriction.","그들은 그 규제를 우회할 방법을 찾아냈다.","","","circumvent the law","법을 피해가다",4,
coalesce,합쳐지다,v,"The two departments coalesced into one team.","두 부서가 하나의 팀으로 합쳐졌다.","","","coalesce into","~로 합쳐지다",5,
coerce,강요하다,v,"No one should be coerced into overtime work.","누구도 초과 근무를 강요받아서는 안 된다.","","","coerce someone into","~하도록 강요하다",3,
cogent,설득력 있는,adj,"She made a cogent case for the new policy.","그녀는 새 정책에 대해 설득력 있는 주장을 펼쳤다.","","","cogent argument","설득력 있는 주장",5,
coherent,일관성 있는,adj,"Her explanation was coherent and easy to follow.","그녀의 설명은 일관성이 있어 이해하기 쉬웠다.","The essay lacked a coherent structure, jumping between ideas.","그 에세이는 일관성 있는 구조가 없어서 아이디어들 사이를 오갔다.","coherent argument","일관성 있는 주장",2,consistent
collaborate,협력하다,v,"The two teams collaborated on the launch.","두 팀은 출시를 위해 협력했다.","Scientists from five countries collaborated on the vaccine research.","다섯 개 나라의 과학자들이 백신 연구에서 협력했다.","collaborate with a team","팀과 협력하다",1,cooperate
collateral,부수적인/담보,adj,"The loan required collateral from the borrower.","그 대출은 차입자에게 담보를 요구했다.","","","collateral damage","부수적 피해",3,
commence,시작하다,v,"The training session will commence at nine.","교육 세션은 9시에 시작될 것이다.","","","commence work","작업을 시작하다",3,
commensurate,상응하는,adj,"The bonus was commensurate with performance.","그 보너스는 성과에 상응하는 수준이었다.","","","commensurate with experience","경력에 상응하는",5,
compelling,설득력 있는,adj,"He gave a compelling argument for the budget cut.","그는 예산 삭감에 대해 설득력 있는 주장을 펼쳤다.","The documentary presents a compelling case for renewable energy.","그 다큐멘터리는 재생 에너지에 대한 설득력 있는 근거를 제시한다.","compelling evidence","설득력 있는 증거",2,persuasive
complacent,자기만족적인,adj,"The firm grew complacent after early success.","그 회사는 초기 성공 이후 안주하게 되었다.","","","complacent about success","성공에 자기만족적인",4,
compliance,준수,n,"The audit checks for regulatory compliance.","그 감사는 규제 준수 여부를 점검한다.","The factory was fined for non-compliance with safety standards.","그 공장은 안전 기준 미준수로 벌금을 물었다.","regulatory compliance","규제 준수",2,adherence
comprehensive,종합적인,adj,"The report offers a comprehensive overview.","그 보고서는 종합적인 개요를 제공한다.","The hospital offers a comprehensive health checkup for seniors.","그 병원은 노년층을 위한 종합적인 건강 검진을 제공한다.","comprehensive review","종합적인 검토",2,thorough
compromise,타협하다,v,"Both sides agreed to compromise on the price.","양측은 가격에 대해 타협하기로 합의했다.","The couple compromised on where to spend the holidays.","그 부부는 휴가를 어디서 보낼지에 대해 타협했다.","reach a compromise","타협에 이르다",1,settle
concede,인정하다/양보하다,v,"She conceded that the plan had flaws.","그녀는 그 계획에 결함이 있음을 인정했다.","","","concede defeat","패배를 인정하다",3,
conciliatory,화해적인,adj,"He adopted a conciliatory tone during the talks.","그는 협상 중에 화해적인 어조를 취했다.","","","conciliatory tone","회유적인 어조",5,
concise,간결한,adj,"Keep the email concise and to the point.","이메일은 간결하고 핵심적으로 작성하세요.","The professor asked for a concise summary, not a full essay.","교수는 전체 에세이가 아니라 간결한 요약을 요청했다.","concise summary","간결한 요약",2,brief
concur,동의하다,v,"The other reviewers concur with the assessment.","다른 심사자들도 그 평가에 동의한다.","","","concur with","~에 동의하다",4,
condone,용납하다,v,"Management will not condone such behavior.","경영진은 그런 행동을 용납하지 않을 것이다.","","","condone violence","폭력을 용납하다",4,
confer,수여하다/상의하다,v,"They conferred for hours before deciding.","그들은 결정을 내리기 전에 몇 시간 동안 상의했다.","","","confer a degree","학위를 수여하다",4,
confidential,기밀의,adj,"The document is strictly confidential.","그 문서는 극비 사항이다.","All employee salary information is kept confidential.","모든 직원 급여 정보는 기밀로 유지된다.","strictly confidential","극비의(엄격히 기밀)",2,secret
confiscate,압수하다,v,"Customs confiscated the undeclared goods.","세관은 신고되지 않은 물품을 압수했다.","","","confiscate a phone","휴대폰을 압수하다",3,
congenial,마음에 맞는,adj,"The office has a congenial working atmosphere.","그 사무실은 마음에 맞는 근무 분위기를 갖고 있다.","","","congenial atmosphere","마음에 맞는 분위기",5,
congruent,일치하는,adj,"The results are congruent with earlier findings.","그 결과는 이전 연구 결과와 일치한다.","","","congruent with","~와 일치하는",5,
conscientious,양심적인/성실한,adj,"She is a conscientious and reliable worker.","그녀는 양심적이고 믿을 수 있는 직원이다.","As a conscientious student, he double-checked every answer.","성실한 학생으로서 그는 모든 답을 다시 확인했다.","conscientious objector","양심적 병역거부자",2,diligent
consensus,합의,n,"The team reached a consensus on the design.","팀은 디자인에 대해 합의에 도달했다.","","","reach a consensus","합의에 이르다",3,
consolidate,통합하다,v,"The two branches will consolidate next year.","두 지점은 내년에 통합될 예정이다.","The company consolidated its debts into a single loan.","그 회사는 부채를 단일 대출로 통합했다.","consolidate power","권력을 강화(통합)하다",2,merge
conspicuous,눈에 띄는,adj,"The error was conspicuous on the first page.","그 오류는 첫 페이지에서 눈에 띄게 드러났다.","","","conspicuous consumption","과시적 소비",4,
constrain,제약하다,v,"Budget cuts constrained the project's scope.","예산 삭감이 그 프로젝트의 범위를 제약했다.","Limited storage space constrains how much inventory the shop can hold.","제한된 저장 공간은 그 가게가 보유할 수 있는 재고량을 제약한다.","constrain options","선택지를 제약하다",2,restrict
contemplate,고려하다/숙고하다,v,"She is contemplating a career change.","그녀는 이직을 고려하고 있다.","","","contemplate the future","미래를 숙고하다",3,
contentious,논쟁적인,adj,"Pricing remains a contentious issue internally.","가격 책정은 내부적으로 여전히 논쟁적인 사안이다.","","","contentious issue","논쟁적인 사안",4,
contingent,조건부의/~에 달려 있는,adj,"The offer is contingent on final approval.","그 제안은 최종 승인 여부에 달려 있다.","","","contingent on","~에 달려 있는",4,
controversy,논란,n,"The decision sparked immediate controversy.","그 결정은 즉각적인 논란을 불러일으켰다.","","","spark controversy","논란을 일으키다",3,
convene,모이다/소집하다,v,"The board will convene next Monday.","이사회는 다음 주 월요일에 소집될 것이다.","","","convene a meeting","회의를 소집하다",4,
conventional,전통적인/관습적인,adj,"They chose a conventional marketing approach.","그들은 전통적인 마케팅 방식을 선택했다.","She rejected conventional wisdom and started her own business at twenty.","그녀는 전통적인 통념을 거부하고 스무 살에 자신의 사업을 시작했다.","conventional wisdom","일반 통념",2,traditional
converge,수렴하다,v,"The two projects converged into one product.","두 프로젝트는 하나의 제품으로 수렴되었다.","","","converge on a point","한 지점으로 수렴하다",4,
corroborate,입증하다,v,"New data corroborates the earlier finding.","새로운 데이터가 이전 발견을 뒷받침한다.","","","corroborate testimony","증언을 뒷받침하다",5,
